"No.","Time","Source","Destination","Protocol","Length","Info"
"2994","12.211274081","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2995","12.214817919","192.168.129.132","206.247.99.130","UDP","80","60413  >  8803 Len=38"
"2996","12.221658039","192.168.129.132","206.247.99.130","TLSv1.2","168","Application Data"
"2997","12.222351991","206.247.99.130","192.168.129.132","TCP","60","443  >  52198 [ACK] Seq=2413 Ack=4353 Win=64240 Len=0"
"2998","12.229151277","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"2999","12.229151840","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"3000","12.230808402","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3001","12.239030063","192.168.129.132","206.247.99.130","UDP","200","41445  >  8803 Len=158"
"3002","12.250553043","206.247.99.130","192.168.129.132","DTLSv1.2","683","Application Data"
"3003","12.250553622","206.247.99.130","192.168.129.132","DTLSv1.2","683","Application Data"
"3004","12.251586604","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3005","12.257821918","192.168.129.132","206.247.99.130","UDP","200","41445  >  8803 Len=158"
"3006","12.259888674","206.247.99.130","192.168.129.132","UDP","87","8803  >  60413 Len=45"
"3007","12.265130427","206.247.99.130","192.168.129.132","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 93.172.218.194:57511"
"3008","12.265130819","206.247.99.130","192.168.129.132","STUN","146","Binding Request user: xra+:EUfaBsMPGQSfvmkX+100"
"3009","12.266764629","192.168.129.132","206.247.99.130","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 206.247.99.130:8803"
"3010","12.270014558","206.247.99.130","192.168.129.132","DTLSv1.2","1011","Application Data"
"3011","12.270015046","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"3012","12.271104142","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3013","12.277569413","192.168.129.132","206.247.99.130","UDP","80","60413  >  8803 Len=38"
"3014","12.277864326","206.247.99.130","192.168.129.132","DTLSv1.2","99","Application Data"
"3015","12.279023531","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3016","12.284555877","134.224.240.25","192.168.129.132","TLSv1.2","284","Application Data"
"3017","12.284606386","192.168.129.132","134.224.240.25","TCP","54","49972  >  443 [ACK] Seq=539 Ack=496 Win=65535 Len=0"
"3018","12.286432385","192.168.129.132","206.247.99.130","UDP","203","41445  >  8803 Len=161"
"3019","12.288040393","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"3020","12.288040677","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"3021","12.288701004","192.168.129.132","206.247.99.130","UDP","205","41445  >  8803 Len=163"
"3022","12.289066805","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3023","12.297183509","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"3024","12.302018216","192.168.129.132","206.247.99.130","UDP","206","41445  >  8803 Len=164"
"3025","12.310471486","206.247.99.130","192.168.129.132","DTLSv1.2","683","Application Data"
"3026","12.311750582","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3027","12.320254819","206.247.99.130","192.168.129.132","DTLSv1.2","683","Application Data"
"3028","12.330677627","206.247.99.130","192.168.129.132","DTLSv1.2","867","Application Data"
"3029","12.335090924","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3030","12.338633752","206.247.99.130","192.168.129.132","DTLSv1.2","867","Application Data"
"3031","12.349544532","192.168.129.132","206.247.99.130","UDP","205","41445  >  8803 Len=163"
"3032","12.356043192","192.168.129.132","206.247.99.130","UDP","211","41445  >  8803 Len=169"
"3033","12.361266163","206.247.99.130","192.168.129.132","DTLSv1.2","895","Application Data"
"3034","12.361692588","206.247.99.130","192.168.129.132","UDP","84","8803  >  60413 Len=42"
"3035","12.361692859","206.247.99.130","192.168.129.132","TLSv1.2","106","Application Data"
"3036","12.362588316","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3037","12.369210826","192.168.129.132","206.247.99.130","UDP","209","41445  >  8803 Len=167"
"3038","12.370476153","192.168.129.132","206.247.99.130","UDP","193","41445  >  8803 Len=151"
"3039","12.373722650","206.247.99.130","192.168.129.132","DTLSv1.2","667","Application Data"
"3040","12.381912080","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"3041","12.383149170","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3042","12.392040090","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"3043","12.392040563","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"3044","12.393026344","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3045","12.402506419","206.247.99.130","192.168.129.132","DTLSv1.2","695","Application Data"
"3046","12.402747338","192.168.129.132","206.247.99.130","UDP","80","60413  >  8803 Len=38"
"3047","12.403336502","192.168.129.132","206.247.99.130","TCP","54","52198  >  443 [ACK] Seq=4353 Ack=2465 Win=65535 Len=0"
"3048","12.410803023","192.168.129.132","206.247.99.130","UDP","198","41445  >  8803 Len=156"
"3049","12.414379249","206.247.99.130","192.168.129.132","DTLSv1.2","695","Application Data"
"3050","12.416750670","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3051","12.427935338","192.168.129.132","206.247.99.130","UDP","191","41445  >  8803 Len=149"
"3052","12.445625788","206.247.99.130","192.168.129.132","DTLSv1.2","615","Application Data"
"3053","12.459140179","206.247.99.130","192.168.129.132","DTLSv1.2","615","Application Data"
"3054","12.460244323","192.168.129.132","206.247.99.130","UDP","178","41445  >  8803 Len=136"
"3055","12.460772964","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
