"No.","Time","Source","Destination","Protocol","Length","Info"
"102","0.976374861","35.186.224.24","192.168.129.132","TCP","60","443  >  46440 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"103","0.976375416","35.186.224.24","192.168.129.132","TCP","60","443  >  46440 [ACK] Seq=1 Ack=2270 Win=64240 Len=0"
"104","1.076022346","35.186.224.24","192.168.129.132","TLSv1.2","2084","Application Data, Application Data, Application Data, Application Data"
"105","1.076365408","192.168.129.132","35.186.224.24","TCP","54","46440  >  443 [ACK] Seq=2270 Ack=2031 Win=65535 Len=0"
"106","1.077391639","192.168.129.132","35.186.224.24","TLSv1.2","89","Application Data"
"107","1.077555894","192.168.129.132","35.186.224.24","TLSv1.2","93","Application Data"
"108","1.077961942","35.186.224.24","192.168.129.132","TCP","60","443  >  46440 [ACK] Seq=2031 Ack=2305 Win=64240 Len=0"
"109","1.077962176","35.186.224.24","192.168.129.132","TCP","60","443  >  46440 [ACK] Seq=2031 Ack=2344 Win=64240 Len=0"
"110","1.423660377","192.168.129.132","142.250.75.46","TLSv1.2","2037","Application Data"
"111","1.424164933","192.168.129.132","142.250.75.46","TLSv1.2","93","Application Data"
"112","1.424383825","142.250.75.46","192.168.129.132","TCP","60","443  >  43702 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"113","1.424384279","142.250.75.46","192.168.129.132","TCP","60","443  >  43702 [ACK] Seq=1 Ack=1984 Win=64240 Len=0"
"114","1.424384328","142.250.75.46","192.168.129.132","TCP","60","443  >  43702 [ACK] Seq=1 Ack=2023 Win=64240 Len=0"
"115","1.424704493","192.168.129.132","142.250.75.46","TLSv1.2","439","Application Data"
"116","1.425134548","142.250.75.46","192.168.129.132","TCP","60","443  >  43702 [ACK] Seq=1 Ack=2408 Win=64240 Len=0"
"117","1.439013475","142.250.75.46","192.168.129.132","TLSv1.2","93","Application Data"
"118","1.479974746","192.168.129.132","142.250.75.46","TCP","54","43702  >  443 [ACK] Seq=2408 Ack=40 Win=65535 Len=0"
"119","1.494241165","192.168.129.132","142.250.75.37","TCP","4434","45462  >  443 [PSH, ACK] Seq=14734 Ack=6118 Win=65535 Len=4380 [TCP PDU reassembled in 120]"
"120","1.494712074","192.168.129.132","142.250.75.37","TLSv1.2","342","Application Data"
"121","1.494872368","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=6118 Ack=16194 Win=64240 Len=0"
"122","1.494966545","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=6118 Ack=17654 Win=64240 Len=0"
"123","1.494966603","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=6118 Ack=19114 Win=64240 Len=0"
